"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GAGFYC","4259472035","G00202","BD","25","1250000","312500","G00232","3","","","25","1250000","15","0","","","202004","1"
"202004","GABFYC","4259472050","G00390","BSM","50","5289500","2644750","G00482","2","","","50","5289500","","","","","202004",""
"202004","GABFYC","4259472050","G00232","BD","50","5289500","2644750","G00482","3","","","50","5289500","","","","","202004",""
"202004","GAGFYC","4259472050","G00202","BD","25","5289500","1322375","G00232","4","","","25","5289500","15","0","","","202004","1"
"202004","GABFYC","4259472068","G00390","BSM","50","2401140","1200570","G00482","2","","","50","2401140","","","","","202004",""
"202004","GABFYC","4259472068","G00232","BD","50","2401140","1200570","G00482","3","","","50","2401140","","","","","202004",""
"202004","GAGFYC","4259472068","G00202","BD","25","2401140","600285","G00232","4","","","25","2401140","15","0","","","202004","1"
"202004","GABFYC","4259472092","G00390","BSM","50","4500000","2250000","G00406","2","","","50","4500000","","","","","202004",""
"202004","GABFYC","4259472092","G00232","BD","50","4500000","2250000","G00406","3","","","50","4500000","","","","","202004",""
"202004","GAGFYC","4259472092","G00202","BD","25","4500000","1125000","G00232","4","","","25","4500000","15","0","","","202004","1"
"202004","GABFYC","4259472118","G00390","BSM","50","300000","150000","G00406","2","","","50","300000","","","","","202004",""
"202004","GABFYC","4259472118","G00232","BD","50","300000","150000","G00406","3","","","50","300000","","","","","202004",""
"202004","GAGFYC","4259472118","G00202","BD","25","300000","75000","G00232","4","","","25","300000","15","0","","","202004","1"
"202004","GABFYC","4268616952","G00513","BSM","50","833480","333392","G00514","2","","","50","833480","","","","","202004",""
"202004","GABFYC","4268616952","G00511","BD","50","833480","333392","G00514","3","","","50","833480","","","","","202004",""
"202004","GAGFYC","4268616952","G00478","BD","25","833480","208370","G00511","4","","","25","833480","15","0","","","202004","1"
"202004","GABFYC","4268616960","G00513","BSM","50","4267560","1707024","G00514","2","","","50","4267560","","","","","202004",""
"202004","GABFYC","4268616960","G00511","BD","50","4267560","1707024","G00514","3","","","50","4267560","","","","","202004",""
"202004","GAGFYC","4268616960","G00478","BD","25","4267560","1066890","G00511","4","","","25","4267560","15","0","","","202004","1"
"202004","GABFYC","4268616978","G00513","BSM","50","8338960","3335584","G00514","2","","","50","8338960","","","","","202004",""
"202004","GABFYC","4268616978","G00511","BD","50","8338960","3335584","G00514","3","","","50","8338960","","","","","202004",""
"202004","GAGFYC","4268616978","G00478","BD","25","8338960","2084740","G00511","4","","","25","8338960","15","0","","","202004","1"
"202004","GABFYC","4268616986","G00513","BSM","50","4447600","1779040","G00514","2","","","50","4447600","","","","","202004",""
"202004","GABFYC","4268616986","G00511","BD","50","4447600","1779040","G00514","3","","","50","4447600","","","","","202004",""
"202004","GAGFYC","4268616986","G00478","BD","25","4447600","1111900","G00511","4","","","25","4447600","15","0","","","202004","1"
"202004","GABFYC","4268656925","G00508","BD","100","2206220","1764976","G00509","2","","","100","2206220","","","","","202004",""
"202004","GAGFYC","4268656925","G00502","BD","25","2206220","551555","G00508","3","","","25","2206220","15","0","","","202004","1"
"202004","GAGFYC","4268656925","G00478","BD","20","2206220","441244","G00502","4","","","20","2206220","10","0","","","202004","2"
"202004","GABFYC","4268656933","G00508","BD","100","5407360","4325888","G00509","2","","","100","5407360","","","","","202004",""
"202004","GAGFYC","4268656933","G00502","BD","25","5407360","1351840","G00508","3","","","25","5407360","15","0","","","202004","1"
"202004","GAGFYC","4268656933","G00478","BD","20","5407360","1081472","G00502","4","","","20","5407360","10","0","","","202004","2"
"202004","GABFYC","4258295429","G00009","BSM","50","102000","51000","G00026","2","","","50","102000","","","","","202004",""
"202004","GABFYC","4258295429","G00051","BD","50","102000","51000","G00026","3","","","50","102000","","","","","202004",""
